_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Kennedy Lodge - Main Fl North (1st Fl),1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,None,2024-11-20,,Y
2,Belmont House,55 Belmont St,LTCH,Respiratory,COVID-19,None,2024-11-19,,Y
3,Cummer Lodge - 1st Fl - Special Care Unit,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-11-19,,Y
4,Kingsway - 2nd Fl,4251 Dundas St W,Retirement Home,Enteric,Pending,None,2024-11-19,,Y
5,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,COVID-19,None,2024-11-19,,Y
6,UHN - Toronto Western Hospital - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-11-19,,Y
7,Baycrest Apotex Centre - Jewish Home for the Aged - 6RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-11-18,,Y
8,Seven Oaks - 1st Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,None,2024-11-18,,Y
9,SHSC - St John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-18,,Y
10,The Russell Hill Retirement Residence - 3rd Fl,262 St Clair Ave W,Retirement Home,Respiratory,COVID-19,None,2024-11-18,,Y
11,Yee Hong Centre - Scarborough Finch - 3 North & 3 South,60 Scottfield Dr,LTCH,Respiratory,COVID-19,None,2024-11-15,,Y
12,Fudger House - 3E,439 Sherbourne St,LTCH,Respiratory,Parainfluenza,None,2024-11-14,,Y
13,Fudger House - 3W,439 Sherbourne St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-11-14,,Y
14,Runnymede Health Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-13,,Y
15,The Heritage Nursing Home - 3rd Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,None,2024-11-13,,Y
16,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-11-12,,Y
17,Centre for Addiction and Mental Health - Unit GAU A,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-11-12,2024-11-16,N
18,Chartwell Gibson - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,"Enterovirus, Parainfluenza",2024-11-12,,Y
