outbreak_setting,causative_agent,month,duration
LTCH,Influenza,Dec,20
Hospital-Acute Care,Norovirus,Dec,5
LTCH,Respiratory syncytial virus,Dec,14
LTCH,Metapneumovirus,Dec,21
Retirement Home,Influenza,Dec,21
Retirement Home,Influenza,Dec,13
LTCH,Influenza,Dec,26
LTCH,Respiratory syncytial virus,Dec,14
Hospital-Chronic Care,Influenza,Dec,13
Hospital-Chronic Care,Influenza,Dec,11
Hospital-Chronic Care,Respiratory syncytial virus,Dec,4
LTCH,Influenza,Dec,13
LTCH,Coronavirus,Dec,13
LTCH,Coronavirus,Dec,11
LTCH,Respiratory syncytial virus,Dec,21
Hospital-Acute Care,Respiratory syncytial virus,Dec,7
LTCH,Influenza,Dec,12
LTCH,Influenza,Dec,14
Retirement Home,Influenza,Dec,16
Retirement Home,Respiratory syncytial virus,Dec,26
LTCH,Influenza,Dec,13
Hospital-Acute Care,Influenza,Dec,13
LTCH,Influenza,Dec,10
Retirement Home,Influenza,Dec,17
LTCH,Influenza,Dec,26
Hospital-Acute Care,Influenza,Dec,7
Hospital-Chronic Care,Influenza,Dec,15
Retirement Home,Influenza,Dec,12
LTCH,Metapneumovirus,Dec,16
Hospital-Acute Care,Influenza,Dec,8
Retirement Home,Respiratory syncytial virus,Dec,15
Hospital-Chronic Care,Respiratory syncytial virus,Dec,4
Retirement Home,Influenza,Dec,8
Retirement Home,Norovirus,Dec,35
Hospital-Chronic Care,Respiratory syncytial virus,Dec,10
Hospital-Chronic Care,Respiratory syncytial virus,Dec,19
LTCH,Influenza,Dec,30
LTCH,Coronavirus,Dec,9
Hospital-Chronic Care,Respiratory syncytial virus,Dec,16
Hospital-Acute Care,Influenza,Dec,10
LTCH,Metapneumovirus,Dec,11
Retirement Home,Enterovirus/Rhinovirus,Dec,9
Retirement Home,Influenza,Dec,11
Retirement Home,Parainfluenza,Dec,18
LTCH,Respiratory syncytial virus,Dec,16
LTCH,Respiratory syncytial virus,Dec,12
LTCH,Norovirus,Dec,7
LTCH,Respiratory syncytial virus,Dec,14
Hospital-Chronic Care,Enterovirus/Rhinovirus,Nov,17
LTCH,Influenza,Nov,15
LTCH,Respiratory syncytial virus,Nov,20
LTCH,Influenza,Nov,10
LTCH,Enterovirus/Rhinovirus,Nov,7
LTCH,Enterovirus/Rhinovirus,Nov,30
LTCH,Enterovirus/Rhinovirus,Nov,17
LTCH,Norovirus,Nov,19
Retirement Home,Enterovirus/Rhinovirus,Nov,12
Hospital-Chronic Care,Influenza,Nov,7
LTCH,Enterovirus/Rhinovirus,Nov,17
Hospital-Acute Care,Norovirus,Nov,9
Hospital-Acute Care,Respiratory syncytial virus,Nov,22
LTCH,Norovirus,Nov,9
Hospital-Psychiatric,Enterovirus/Rhinovirus,Nov,9
LTCH,Influenza,Nov,14
Hospital-Chronic Care,Enterovirus/Rhinovirus,Oct,9
LTCH,Enterovirus/Rhinovirus,Oct,8
Retirement Home,Enterovirus/Rhinovirus,Oct,14
LTCH,Enterovirus/Rhinovirus,Oct,21
LTCH,Enterovirus/Rhinovirus,Oct,11
LTCH,Enterovirus/Rhinovirus,Oct,21
Retirement Home,Enterovirus/Rhinovirus,Oct,12
Retirement Home,Enterovirus/Rhinovirus,Oct,9
Retirement Home,Enterovirus/Rhinovirus,Oct,7
LTCH,Enterovirus/Rhinovirus,Oct,31
LTCH,Enterovirus/Rhinovirus,Oct,8
Retirement Home,Enterovirus/Rhinovirus,Oct,11
LTCH,Enterovirus/Rhinovirus,Sep,15
LTCH,Enterovirus/Rhinovirus,Sep,18
Hospital-Chronic Care,Coronavirus,Sep,5
LTCH,Enterovirus/Rhinovirus,Sep,11
LTCH,Enterovirus/Rhinovirus,Sep,11
LTCH,Enterovirus/Rhinovirus,Sep,25
LTCH,Enterovirus/Rhinovirus,Sep,11
LTCH,Enterovirus/Rhinovirus,Sep,41
Hospital-Acute Care,Enterovirus/Rhinovirus,Sep,6
LTCH,Enterovirus/Rhinovirus,Sep,9
LTCH,Enterovirus/Rhinovirus,Sep,7
LTCH,Enterovirus/Rhinovirus,Sep,11
LTCH,Enterovirus/Rhinovirus,Sep,8
LTCH,Enterovirus/Rhinovirus,Aug,10
LTCH,Enterovirus/Rhinovirus,Aug,11
Retirement Home,Parainfluenza,Aug,18
LTCH,Metapneumovirus,Aug,16
Hospital-Chronic Care,Parainfluenza,Aug,8
Hospital-Acute Care,Parainfluenza,Aug,7
LTCH,Enterovirus/Rhinovirus,Aug,16
LTCH,Enterovirus/Rhinovirus,Jul,10
LTCH,Enterovirus/Rhinovirus,Jul,16
LTCH,Parainfluenza,Jul,31
Retirement Home,Enterovirus/Rhinovirus,Jul,11
LTCH,Parainfluenza,Jul,26
LTCH,Enterovirus/Rhinovirus,Jul,28
LTCH,Enterovirus/Rhinovirus,Jul,17
LTCH,Parainfluenza,Jul,14
Hospital-Chronic Care,Parainfluenza,Jun,9
LTCH,Parainfluenza,Jun,29
Hospital-Acute Care,Parainfluenza,Jun,16
LTCH,Enterovirus/Rhinovirus,Jun,7
LTCH,Enterovirus/Rhinovirus,Jun,13
LTCH,Coronavirus,Jun,27
Hospital-Chronic Care,Influenza,Jun,8
LTCH,Enterovirus/Rhinovirus,May,18
Hospital-Chronic Care,Norovirus,May,5
Retirement Home,Norovirus,May,14
LTCH,Norovirus,May,14
LTCH,Metapneumovirus,May,7
LTCH,Metapneumovirus,May,7
LTCH,Influenza,May,20
LTCH,Enterovirus/Rhinovirus,May,8
LTCH,Enterovirus/Rhinovirus,May,13
LTCH,Metapneumovirus,May,9
LTCH,Metapneumovirus,May,13
Retirement Home,Parainfluenza,May,9
LTCH,Norovirus,May,16
LTCH,Influenza,May,5
Hospital-Chronic Care,Influenza,May,9
LTCH,Coronavirus,May,18
